Station, Fav, StationName, HydStatus, Prov, Latitude, Longitude, DrainageArea, Years, From, To, Reg., Flow, Level, Sed, OperSched, RealTime, RHBN, Region, Datum, Operator
 ,  ,  ,  ,  , Degrees, Degrees, km²,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
05AA004, False, PINCHER CREEK AT PINCHER CREEK, Active, AB, 49.4864, -113.9477, 158, 76, 1910, 2016, False, True, True, True, Seasonal, True, False, CALGARY, ASSUMED DATUM, WATER SURVEY OF CANADA (DOE) (CANADA)
05AA008, False, CROWSNEST RIVER AT FRANK, Active, AB, 49.59732, -114.4106, 403, 79, 1910, 2016, False, True, True, True, Continuous, True, True, CALGARY, ASSUMED DATUM, WATER SURVEY OF CANADA (DOE) (CANADA)
05AA011, False, MILL CREEK NEAR THE MOUTH, Active, AB, 49.46951, -114.1342, 179, 42, 1910, 2016, False, True, True, True, Seasonal, True, False, CALGARY, ASSUMED DATUM, WATER SURVEY OF CANADA (DOE) (CANADA)
05AA022, False, CASTLE RIVER NEAR BEAVER MINES, Active, AB, 49.48866, -114.1444, 821, 72, 1945, 2016, False, True, True, True, Continuous, True, False, CALGARY, ASSUMED DATUM, WATER SURVEY OF CANADA (DOE) (CANADA)
05AA027, False, RACEHORSE CREEK NEAR THE MOUTH, Active, AB, 49.83779, -114.4206, 218, 51, 1966, 2016, False, True, True, True, Seasonal, True, False, CALGARY, ASSUMED DATUM, WATER SURVEY OF CANADA (DOE) (CANADA)
05AA028, False, CASTLE RIVER AT RANGER STATION, Active, AB, 49.39745, -114.3399, 375, 50, 1967, 2016, False, True, True, True, Seasonal, True, False, CALGARY, ASSUMED DATUM, WATER SURVEY OF CANADA (DOE) (CANADA)
05AA030, False, GOLD CREEK NEAR FRANK, Active, AB, 49.60185, -114.4005, 63.3, 40, 1975, 2014, False, True, True, False, Seasonal, True, False, CALGARY, ASSUMED DATUM, WATER SURVEY OF CANADA (DOE) (CANADA)
05AA033, False, KETTLES CREEK AT PINCHER CREEK, Active, AB, 49.49232, -113.9265, 38.4, 10, 2005, 2014, False, True, True, False, Seasonal, True, False, CALGARY, ASSUMED DATUM, WATER SURVEY OF CANADA (DOE) (CANADA)
05AA034, False, PINCHER CREEK AT FRONT RANGE ROAD, Active, AB, 49.30934, -114.0751, 24, 12, 2005, 2016, False, True, True, False, Seasonal, True, False, CALGARY, ASSUMED DATUM, WATER SURVEY OF CANADA (DOE) (CANADA)
05AA035, False, OLDMAN RIVER AT RANGE ROAD NO. 13A, Active, AB, 49.72769, -114.0865, 1830, 7, 2009, 2015, False, True, True, False, Continuous, True, False, CALGARY, ASSUMED DATUM, WATER SURVEY OF CANADA (DOE) (CANADA)
05AA909, False, TODD CREEK NEAR HIGHWAY NO.22, Active, AB, 49.76328, -114.2381, 74, 35, 1982, 2016, False, True, True, False, Seasonal, False, False, CALGARY, ASSUMED DATUM, WATER SURVEY OF CANADA (DOE) (CANADA)
05AB005, False, TROUT CREEK NEAR GRANUM, Active, AB, 49.97735, -113.686, 441, 52, 1908, 2014, False, True, True, False, Seasonal, True, False, CALGARY, ASSUMED DATUM, WATER SURVEY OF CANADA (DOE) (CANADA)
05AB013, False, BEAVER CREEK NEAR BROCKET, Active, AB, 49.63938, -113.7953, 256, 56, 1921, 2016, False, True, True, True, Seasonal, False, False, CALGARY, ASSUMED DATUM, WATER SURVEY OF CANADA (DOE) (CANADA)
05AB029, False, MEADOW CREEK NEAR THE MOUTH, Active, AB, 49.95413, -113.6635, 130, 49, 1966, 2014, False, True, True, True, Seasonal, True, False, CALGARY, ASSUMED DATUM, WATER SURVEY OF CANADA (DOE) (CANADA)
05AB040, False, WILLOW CREEK AT SECONDARY NO. 532, Active, AB, 50.24177, -114.3512, 65.3, 21, 1996, 2016, False, True, True, False, Seasonal, True, False, CALGARY, ASSUMED DATUM, WATER SURVEY OF CANADA (DOE) (CANADA)
05AB046, False, WILLOW CREEK AT HIGHWAY NO. 811, Active, AB, 49.75476, -113.4073, 2510, 19, 1999, 2017, False, True, False, False, Seasonal, True, False, CALGARY, ASSUMED DATUM, ALBERTA ENVIRONMENTAL PROTECTION
05AC030, False, SNAKE CREEK NEAR VULCAN, Active, AB, 50.47247, -112.914, 350, 35, 1980, 2014, False, True, True, False, Seasonal, True, False, CALGARY, ASSUMED DATUM, WATER SURVEY OF CANADA (DOE) (CANADA)
05AC034, False, LITTLE BOW RIVER ABOVE TRAVERS RESERVOIR, Active, AB, 50.20417, -112.9778, , 20, 1992, 2017, False, True, False, False, Seasonal, True, False, CALGARY, , ALBERTA ENVIRONMENTAL PROTECTION
05AC930, False, LITTLE BOW RIVER AT HIGHWAY NO. 533, Active, AB, 50.35417, -113.5431, , 16, 1999, 2017, False, True, False, False, Seasonal, False, False, CALGARY, ASSUMED DATUM, ALBERTA ENVIRONMENTAL PROTECTION
05AD003, False, WATERTON RIVER NEAR WATERTON PARK, Active, AB, 49.11366, -113.8394, 613, 93, 1908, 2014, False, True, True, False, Continuous, True, True, CALGARY, ASSUMED DATUM, WATER SURVEY OF CANADA (DOE) (CANADA)
05AD035, False, PRAIRIE BLOOD COULEE NEAR LETHBRIDGE, Active, AB, 49.56628, -112.9543, 214, 45, 1970, 2014, False, True, True, False, Seasonal, True, False, CALGARY, ASSUMED DATUM, WATER SURVEY OF CANADA (DOE) (CANADA)
05AD042, False, YARROW CREEK AT SPREAD EAGLE ROAD, Active, AB, 49.23194, -113.9608, 47.9, 10, 2005, 2014, False, True, True, False, Seasonal, True, False, CALGARY, ASSUMED DATUM, WATER SURVEY OF CANADA (DOE) (CANADA)
05AD934, False, BELLY RIVER NEAR MOON RIVER ROAD, Active, AB, 49.7287, -113.1247, 3580, 10, 2008, 2017, False, True, False, False, Seasonal, False, False, CALGARY, GEODETIC SURVEY OF CANADA DATUM, ALBERTA ENVIRONMENTAL PROTECTION
05AE005, False, ROLPH CREEK NEAR KIMBALL, Active, AB, 49.12501, -113.1426, 227, 85, 1911, 2014, False, True, True, False, Seasonal, True, False, CALGARY, ASSUMED DATUM, WATER SURVEY OF CANADA (DOE) (CANADA)
05AH037, False, GROS VENTRE CREEK NEAR DUNMORE, Active, AB, 49.88778, -110.5071, 215, 73, 1921, 2014, False, True, True, False, Seasonal, True, False, CALGARY, ASSUMED DATUM, WATER SURVEY OF CANADA (DOE) (CANADA)
05AH041, False, PEIGAN CREEK NEAR PAKOWKI ROAD, Active, AB, 49.5805, -110.9437, 439, 55, 1960, 2014, False, True, True, True, Seasonal, True, False, CALGARY, ASSUMED DATUM, WATER SURVEY OF CANADA (DOE) (CANADA)
05AH047, False, SAM LAKE TRIBUTARY NEAR SCHULER, Active, AB, 50.16348, -110.2576, 82.3, 33, 1982, 2014, False, True, True, False, Seasonal, True, False, CALGARY, ASSUMED DATUM, WATER SURVEY OF CANADA (DOE) (CANADA)
05BA001, False, BOW RIVER AT LAKE LOUISE, Active, AB, 51.4286, -116.1889, 422, 64, 1910, 2016, False, True, True, False, Seasonal, True, False, CALGARY, ASSUMED DATUM, WATER SURVEY OF CANADA (DOE) (CANADA)
05BB001, False, BOW RIVER AT BANFF, Active, AB, 51.17223, -115.5718, 2210, 108, 1909, 2016, False, True, True, False, Continuous, True, True, CALGARY, ASSUMED DATUM, WATER SURVEY OF CANADA (DOE) (CANADA)
05BG006, False, WAIPAROUS CREEK NEAR THE MOUTH, Active, AB, 51.28281, -114.8384, 333, 49, 1966, 2014, False, True, True, False, Continuous, True, False, CALGARY, ASSUMED DATUM, WATER SURVEY OF CANADA (DOE) (CANADA)
05BH013, False, JUMPINGPOUND CREEK NEAR COX HILL, Active, AB, 51.00233, -114.9381, 36.9, 40, 1976, 2015, False, True, True, False, Seasonal, True, False, CALGARY, ASSUMED DATUM, WATER SURVEY OF CANADA (DOE) (CANADA)
05BH014, False, NOSE CREEK ABOVE AIRDRIE, Active, AB, 51.31191, -114.0276, 247, 11, 2005, 2015, False, True, True, False, Seasonal, True, False, CALGARY, ASSUMED DATUM, WATER SURVEY OF CANADA (DOE) (CANADA)
05BH015, False, JUMPINGPOUND CREEK AT TOWNSHIP ROAD NO. 252, Active, AB, 51.12831, -114.5675, 474, 11, 2006, 2016, False, True, True, False, Continuous, True, False, CALGARY, ASSUMED DATUM, WATER SURVEY OF CANADA (DOE) (CANADA)
05BH016, False, WEST NOSE CREEK AT CALGARY, Active, AB, 51.19012, -114.1412, 275, 2, 2013, 2014, False, True, True, False, Seasonal, True, False, CALGARY, , WATER SURVEY OF CANADA (DOE) (CANADA)
