,Station Number,Station Name,Latitude,Longitude,RHBN
0,07EC002, OMINECA RIVER ABOVE OSILINKA RIVER,55.92,124.57,True
1,07EE007, PARSNIP RIVER ABOVE MISINCHINKA RIVER,55.08,122.91,True
2,07EE009, CHUCHINKA CREEK NEAR THE MOUTH,54.53,122.61,True
3,07FB001, PINE RIVER AT EAST PINE,55.72,121.21,True
4,07FB002, MURRAY RIVER NEAR THE MOUTH,55.55,121.2,True
5,07FB003, SUKUNKA RIVER NEAR THE MOUTH,55.54,121.63,True
6,07FB004, DICKEBUSCH CREEK NEAR THE MOUTH,55.54,121.6,True
7,07FB006, MURRAY RIVER ABOVE WOLVERINE RIVER,55.06,121.01,True
8,07FD001, KISKATINAW RIVER NEAR FARMINGTON,55.96,120.56,True
9,08DB001, NASS RIVER ABOVE SHUMAL CREEK,55.22,129.14,True
10,08EB004, KISPIOX RIVER NEAR HAZELTON,55.43,127.72,True
11,08EC013, BABINE RIVER AT OUTLET OF NILKITKWA LAKE,55.43,126.7,False
12,08ED001, NANIKA RIVER AT OUTLET OF KIDPRICE LAKE,53.93,127.45,True
13,08ED002, MORICE RIVER NEAR HOUSTON,54.12,127.43,True
14,08EE004, BULKLEY RIVER AT QUICK,54.62,126.9,True
15,08EE008, GOATHORN CREEK NEAR TELKWA,54.65,127.12,True
16,08EE012, SIMPSON CREEK AT THE MOUTH,54.81,127.2,True
17,08EE013, BUCK CREEK AT THE MOUTH,54.4,126.65,True
18,08EE020, TELKWA RIVER BELOW TSAI CREEK,54.61,127.5,True
19,08EF001, SKEENA RIVER AT USK,54.63,128.43,True
20,08EF005, ZYMOETZ RIVER ABOVE O.K. CREEK,54.49,128.32,True
21,08EG012, EXCHAMSIKS RIVER NEAR TERRACE,54.36,129.31,True
22,08FA002, WANNOCK RIVER AT OUTLET OF OWIKENO LAKE,51.68,127.18,True
23,08FB004, SALLOOMT RIVER NEAR HAGENSBORG,52.42,126.52,True
24,08FC003, DEAN RIVER BELOW TANSWANKET CREEK,52.89,125.77,True
25,08FE003, KEMANO RIVER ABOVE POWERHOUSE TAILRACE,53.56,127.95,True
26,08FF001, KITIMAT RIVER BELOW HIRSCH CREEK,54.05,128.69,True
27,08FF002, HIRSCH CREEK NEAR THE MOUTH,54.06,128.6,True
28,08FF003, LITTLE WEDEENE RIVER BELOW BOWBYES CREEK,54.14,128.69,True
29,08GD004, HOMATHKO RIVER AT THE MOUTH,50.99,124.92,True
30,08GE002, KLINAKLINI RIVER EAST CHANNEL (MAIN) NEAR THE MOUTH,51.14,125.59,True
31,08HA001, CHEMAINUS RIVER NEAR WESTHOLME,48.88,123.7,True
32,08HA003, KOKSILAH RIVER AT COWICHAN STATION,48.73,123.67,True
33,08HA016, BINGS CREEK NEAR THE MOUTH,48.79,123.73,True
34,08HB002, ENGLISHMAN RIVER NEAR PARKSVILLE,49.32,124.29,False
35,08HB014, SARITA RIVER NEAR BAMFIELD,48.89,124.97,True
36,08HB048, CARNATION CREEK AT THE MOUTH,48.92,125.0,True
37,08HD011, OYSTER RIVER BELOW WOODHUS CREEK,49.89,125.24,True
38,08HE006, ZEBALLOS RIVER NEAR ZEBALLOS,50.01,126.84,False
39,08HF004, TSITIKA RIVER BELOW CATHERINE CREEK,50.44,126.58,True
40,08JA015, LAVENTIE CREEK NEAR THE MOUTH,53.65,127.54,True
41,08JB002, STELLAKO RIVER AT GLENANNAN,54.01,125.01,True
42,08JB003, NAUTLEY RIVER NEAR FORT FRASER,54.09,124.6,True
43,08JE001, STUART RIVER NEAR FORT ST. JAMES,54.42,124.27,True
44,08JE004, TSILCOH RIVER NEAR THE MOUTH,54.61,124.25,True
45,08KA004, FRASER RIVER AT HANSARD,54.08,121.85,True
46,08KA009, MCKALE RIVER NEAR 940 M CONTOUR,53.44,120.22,True
47,08KB001, FRASER RIVER AT SHELLEY,54.0,122.62,True
48,08KB003, MCGREGOR RIVER AT LOWER CANYON,54.23,121.67,True
49,08KD007, BOWRON RIVER BELOW BOX CANYON,54.02,122.1,True
50,08KE024, LITTLE SWIFT RIVER AT THE MOUTH,52.91,121.77,True
51,08KG001, WEST ROAD RIVER NEAR CINEMA,53.31,122.89,True
52,08KH001, QUESNEL RIVER AT LIKELY,52.62,121.57,True
53,08KH006, QUESNEL RIVER NEAR QUESNEL,52.84,122.23,True
54,08KH010, HORSEFLY RIVER ABOVE MCKINLEY CREEK,52.29,121.07,True
55,08KH019, MOFFAT CREEK NEAR HORSEFLY,52.32,121.41,True
56,08LA001, CLEARWATER RIVER NEAR CLEARWATER STATION,51.65,120.07,True
57,08LB020, BARRIERE RIVER AT THE MOUTH,51.19,120.13,True
58,08LB047, NORTH THOMPSON RIVER AT BIRCH ISLAND,51.6,119.91,False
59,08LB064, NORTH THOMPSON RIVER AT MCLURE,51.04,120.24,True
60,08LB069, BARRIERE RIVER BELOW SPRAGUE CREEK,51.25,119.94,True
61,08LB076, HARPER CREEK NEAR THE MOUTH,51.35,119.88,True
62,08LE024, EAGLE RIVER NEAR MALAKWA,50.94,118.8,True
63,08LE027, SEYMOUR RIVER NEAR SEYMOUR ARM,51.26,118.95,True
64,08LE031, SOUTH THOMPSON RIVER AT CHASE,50.76,119.74,True
65,08LF051, THOMPSON RIVER NEAR SPENCES BRIDGE,50.35,121.39,False
66,08LG016, PENNASK CREEK NEAR QUILCHENA,49.96,120.13,True
67,08LG048, COLDWATER RIVER NEAR BROOKMERE,49.85,120.91,True
68,08MA001, CHILKO RIVER NEAR REDSTONE,52.07,123.54,True
69,08MA006, LINGFIELD CREEK NEAR THE MOUTH,51.67,124.15,True
70,08MB006, BIG CREEK ABOVE GROUNDHOG CREEK,51.52,123.12,True
71,08ME023, BRIDGE RIVER (SOUTH BRANCH) BELOW BRIDGE GLACIER,50.86,123.45,True
72,08MG005, LILLOOET RIVER NEAR PEMBERTON,50.34,122.8,True
73,08MG013, HARRISON RIVER NEAR HARRISON HOT SPRINGS,49.3,121.83,True
74,08MH001, CHILLIWACK RIVER AT VEDDER CROSSING,49.1,121.97,True
75,08MH006, NORTH ALOUETTE RIVER AT 232ND STREET  MAPLE RIDGE,49.24,122.58,True
76,08MH016, CHILLIWACK RIVER AT OUTLET OF CHILLIWACK LAKE,49.08,121.46,True
77,08MH056, SLESSE CREEK NEAR VEDDER CROSSING,49.07,121.7,True
78,08MH076, KANAKA CREEK NEAR WEBSTER CORNERS,49.21,122.54,True
